Day,5FU_Dose_mg,Oxaliplatin_Dose_mg,ANC_10^9_L,Acute_Neuropathy(0/1),Chronic_Neuropathy(0/1),Cumulative_Oxaliplatin_mg,Utility,Daily_Cost,Total_Cost
112,4489.98886412873,159.0204389378925,3.4520896000598102,0,0,1272.1635115031402,0.5817814545582966,297.7477946732382,4636.7483636214965
113,4489.98886412873,0.0,3.276830081255685,1,0,1431.1839504410327,0.0483747557570301,281.84575077944896,4934.496158294734
114,0.0,0.0,3.1631762633225318,0,0,1431.1839504410327,0.30814775125498595,0.0,5216.341909074184
115,0.0,0.0,3.213699823824152,0,0,1431.1839504410327,0.5882934370547792,0.0,5216.341909074184
116,0.0,0.0,3.256644850250529,0,0,1431.1839504410327,0.586576371425327,0.0,5216.341909074184
117,0.0,0.0,3.29314812271295,0,0,1431.1839504410327,0.5848421351395803,0.0,5216.341909074184
118,0.0,0.0,3.3241759043060073,0,0,1431.1839504410327,0.5830905564909761,0.0,5216.341909074184
119,0.0,0.0,3.3505495186601064,0,0,1431.1839504410327,0.5813214620558858,0.0,5216.341909074184
120,0.0,0.0,3.3729670908610903,0,0,1431.1839504410327,0.5795346766764446,0.0,5216.341909074184
121,0.0,0.0,3.392022027231927,0,0,1431.1839504410327,0.5777300234432091,0.0,5216.341909074184
122,0.0,0.0,3.408218723147138,0,0,1431.1839504410327,0.5759073236776412,0.0,5216.341909074184
123,0.0,0.0,3.4219859146750675,0,0,1431.1839504410327,0.5740663969144176,0.0,5216.341909074184
124,0.0,0.0,3.4336880274738073,0,0,1431.1839504410327,0.5722070608835618,0.0,5216.341909074184
125,0.0,0.0,3.4436348233527365,0,0,1431.1839504410327,0.5703291314923974,0.0,5216.341909074184
126,0.0,0.0,3.452089599849826,0,0,1431.1839504410327,0.5684324228073214,0.0,5216.341909074184
127,0.0,0.0,3.4592761598723523,0,0,1431.1839504410327,0.5665167470353946,0.0,5216.341909074184
128,0.0,0.0,3.4653847358914995,0,0,1431.1839504410327,0.5645819145057486,0.0,5216.341909074184
129,0.0,0.0,3.4705770255077746,0,0,1431.1839504410327,0.562627733650806,0.0,5216.341909074184
130,0.0,0.0,3.4749904716816085,0,0,1431.1839504410327,0.560654010987314,0.0,5216.341909074184
131,0.0,0.0,3.478741900929367,0,0,1431.1839504410327,0.5586605510971873,0.0,5216.341909074184
132,0.0,0.0,3.481930615789962,0,0,1431.1839504410327,0.5566471566081591,0.0,5216.341909074184
133,0.0,0.0,3.4846410234214678,0,0,1431.1839504410327,0.5546136281742408,0.0,5216.341909074184
134,0.0,0.0,3.4869448699082475,0,0,1431.1839504410327,0.5525597644559832,0.0,5216.341909074184
135,0.0,0.0,3.4889031394220105,0,0,1431.1839504410327,0.550485362100543,0.0,5216.341909074184
136,0.0,0.0,3.490567668508709,0,0,1431.1839504410327,0.5483902157215484,0.0,5216.341909074184
137,0.0,0.0,3.4919825182324025,0,0,1431.1839504410327,0.5462741178787639,0.0,5216.341909074184
138,0.0,0.0,3.493185140497542,0,0,1431.1839504410327,0.5441368590575515,0.0,5216.341909074184
139,0.0,0.0,3.4942073694229108,0,0,1431.1839504410327,0.541978227648127,0.0,5216.341909074184
140,0.0,0.0,3.4950762640094744,0,0,1431.1839504410327,0.5397980099246082,0.0,5216.341909074184
141,0.0,0.0,3.495814824408053,0,0,1431.1839504410327,0.5375959900238543,0.0,5216.341909074184
142,0.0,0.0,3.496442600746845,0,0,1431.1839504410327,0.5353719499240929,0.0,5216.341909074184
143,0.0,0.0,3.4969762106348186,0,0,1431.1839504410327,0.5331256694233338,0.0,5216.341909074184
144,0.0,0.0,3.497429779039596,0,0,1431.1839504410327,0.5308569261175672,0.0,5216.341909074184
145,0.0,0.0,3.4978153121836564,0,0,1431.1839504410327,0.5285654953787429,0.0,5216.341909074184
146,0.0,0.0,3.498143015356108,0,0,1431.1839504410327,0.5262511503325302,0.0,5216.341909074184
147,0.0,0.0,3.498421563052692,0,0,1431.1839504410327,0.5239136618358555,0.0,5216.341909074184
148,0.0,0.0,3.4986583285947885,0,0,1431.1839504410327,0.5215527984542141,0.0,5216.341909074184
149,0.0,0.0,3.49885957930557,0,0,1431.1839504410327,0.5191683264387563,0.0,5216.341909074184
150,0.0,0.0,3.4990306424097346,0,0,1431.1839504410327,0.5167600097031438,0.0,5216.341909074184
151,0.0,0.0,3.4991760460482744,0,0,1431.1839504410327,0.5143276098001753,0.0,5216.341909074184
152,0.0,0.0,3.499299639141033,0,0,1431.1839504410327,0.5118708858981771,0.0,5216.341909074184
153,0.0,0.0,3.499404693269878,0,0,1431.1839504410327,0.5093895947571587,0.0,5216.341909074184
154,0.0,0.0,3.4994939892793964,0,0,1431.1839504410327,0.5068834907047304,0.0,5216.341909074184
155,0.0,0.0,3.499569890887487,0,0,1431.1839504410327,0.5043523256117777,0.0,5216.341909074184
156,0.0,0.0,3.499634407254364,0,0,1431.1839504410327,0.5017958488678955,0.0,5216.341909074184
157,0.0,0.0,3.4996892461662092,0,0,1431.1839504410327,0.49921380735657445,0.0,5216.341909074184
158,0.0,0.0,3.499735859241278,0,0,1431.1839504410327,0.4966059454301402,0.0,5216.341909074184
159,0.0,0.0,3.4997754803550865,0,0,1431.1839504410327,0.49397200488444154,0.0,5216.341909074184
160,0.0,0.0,3.4998091583018236,0,0,1431.1839504410327,0.49131172493328595,0.0,5216.341909074184
161,0.0,0.0,3.4998377845565503,0,0,1431.1839504410327,0.4886248421826188,0.0,5216.341909074184
162,0.0,0.0,3.499862116873068,0,0,1431.1839504410327,0.485911090604445,0.0,5216.341909074184
163,0.0,0.0,3.4998827993421076,0,0,1431.1839504410327,0.48317020151048945,0.0,5216.341909074184
164,0.0,0.0,3.4999003794407915,0,0,1431.1839504410327,0.4804019035255943,0.0,5216.341909074184
165,0.0,0.0,3.499915322524673,0,0,1431.1839504410327,0.47760592256085027,0.0,5216.341909074184
166,0.0,0.0,3.499928024145972,0,0,1431.1839504410327,0.47478198178645875,0.0,5216.341909074184
167,0.0,0.0,3.4999388205240765,0,0,1431.1839504410327,0.4719298016043234,0.0,5216.341909074184
168,0.0,0.0,3.499947997445465,0,0,1431.1839504410327,0.4690490996203666,0.0,5216.341909074184
169,0.0,0.0,3.4999557978286453,0,0,1431.1839504410327,0.46613959061657023,0.0,5216.341909074184
170,0.0,0.0,3.4999624281543484,0,0,1431.1839504410327,0.463200986522736,0.0,5216.341909074184
171,0.0,0.0,3.4999680639311963,0,0,1431.1839504410327,0.4602329963879633,0.0,5216.341909074184
172,0.0,0.0,3.499972854341517,0,0,1431.1839504410327,0.45723532635184294,0.0,5216.341909074184
173,0.0,0.0,3.4999769261902896,0,0,1431.1839504410327,0.45420767961536135,0.0,5216.341909074184
174,0.0,0.0,3.499980387261746,0,0,1431.1839504410327,0.451149756411515,0.0,5216.341909074184
175,0.0,0.0,3.4999833291724842,0,0,1431.1839504410327,0.4480612539756301,0.0,5216.341909074184
176,0.0,0.0,3.4999858297966115,0,0,1431.1839504410327,0.4449418665153864,0.0,5216.341909074184
177,0.0,0.0,3.4999879553271196,0,0,1431.1839504410327,0.44179128518054034,0.0,5216.341909074184
178,0.0,0.0,3.4999897620280516,0,0,1431.1839504410327,0.4386091980323457,0.0,5216.341909074184
179,0.0,0.0,3.499991297723844,0,0,1431.1839504410327,0.4353952900126692,0.0,5216.341909074184
180,0.0,0.0,3.4999926030652673,0,0,1431.1839504410327,0.4321492429127959,0.0,5216.341909074184
